Date,Open,High,Low,Close,Adj Close,Volume
15/08/19,30.629999,30.73,29.21,29.67,29.67,71674400
16/08/19,30.309999,31.48,30.21,31.18,31.18,70469800
19/08/19,32,32.19,31.42,31.48,31.48,67596900
20/08/19,30.940001,31.31,30.45,30.719999,30.719999,47924000
21/08/19,31.049999,31.74,30.84,31.700001,31.700001,41441500
22/08/19,31.76,31.92,30.98,31.9,31.9,47667900
23/08/19,31.299999,31.83,29.4,29.540001,29.540001,83681100
26/08/19,30.34,30.72,29.94,30.280001,30.280001,50612500
27/08/19,30.6,30.89,29.6,30.200001,30.200001,53229200
28/08/19,29.92,31.18,29.7,30.780001,30.780001,55835900
29/08/19,31.469999,31.83,31.33,31.450001,31.450001,44422800
30/08/19,31.6,31.87,31.13,31.450001,31.450001,40307000
3/9/2019,30.83,31.14,30.68,30.9,30.9,38029300
4/9/2019,31.32,31.83,30.85,30.950001,30.950001,46614600
5/9/2019,31.790001,32.05,31.12,31.5,31.5,57861200
6/9/2019,31.5,31.51,30.48,30.559999,30.559999,51673000
9/9/2019,30.93,31.18,30.24,30.5,30.5,54413200
10/9/2019,30.219999,30.38,29.77,30.23,30.23,48604800
11/9/2019,30.379999,30.43,29.51,29.76,29.76,50631700
12/9/2019,30.08,30.84,29.95,30.209999,30.209999,53618300
13/09/19,30.27,30.85,29.95,30.690001,30.690001,47758800
16/09/19,30.370001,31.15,30.26,30.83,30.83,52248500
17/09/19,31.07,31.32,30.74,30.99,30.99,35011700
18/09/19,30.75,30.89,29.88,30.42,30.42,47027500
19/09/19,30.57,30.96,30.14,30.290001,30.290001,41603000
20/09/19,30.360001,30.47,29.65,30.049999,30.049999,79957400
23/09/19,30.120001,30.8,30.07,30.639999,30.639999,44366800
24/09/19,30.540001,30.75,29.29,29.52,29.52,72963000
25/09/19,29.48,29.65,28.55,29.540001,29.540001,58234800
26/09/19,29.67,29.77,29,29.469999,29.469999,40745400
27/09/19,29.17,29.77,28.35,28.719999,28.719999,54091100
30/09/19,28.889999,29.05,28.36,28.99,28.99,37295600
1/10/2019,29.049999,29.54,28.64,28.76,28.76,37081800
2/10/2019,28.5,28.85,28.03,28.309999,28.309999,43640700
3/10/2019,28.280001,28.78,27.43,28.68,28.68,56325200
4/10/2019,28.83,29.06,28.28,29.01,29.01,34446700
7/10/2019,28.9,29.63,28.84,28.93,28.93,39337200
8/10/2019,28.549999,28.64,27.92,28.23,28.23,44265700
9/10/2019,28.799999,28.95,28.35,28.459999,28.459999,35661500
10/10/2019,28.52,28.89,28,28.379999,28.379999,40660100
11/10/2019,28.83,30.2,28.81,29.75,29.75,66256900
14/10/19,29.709999,30.61,29.38,30.530001,30.530001,44473700
15/10/19,30.700001,30.92,30.17,30.719999,30.719999,41600700
16/10/19,30.6,31.41,30.53,30.809999,30.809999,42804400
17/10/19,31.299999,31.4,30.86,31.139999,31.139999,36884400
18/10/19,31.059999,31.33,30.29,30.969999,30.969999,39681700
21/10/19,31.5,32.26,31.41,32.029999,32.029999,52182800
22/10/19,32.060001,32.15,31.5,31.51,31.51,36185200
23/10/19,31.09,31.65,30.83,31.360001,31.360001,26582200
24/10/19,31.58,31.86,31.34,31.719999,31.719999,27808000
25/10/19,31.9,32.86,31.83,32.709999,32.709999,45189400
28/10/19,33.16,33.91,33.15,33.689999,33.689999,51223600
29/10/19,33.73,33.9,32.7,33.029999,33.029999,78700100
30/10/19,32.93,33.34,32.03,33.130001,33.130001,78228800
31/10/19,32.98,34.34,32.82,33.93,33.93,67881600
1/11/2019,34.369999,35,34.1,34.889999,34.889999,64238600
4/11/2019,35.189999,36.45,34.76,36.290001,36.290001,83343800
5/11/2019,36.560001,37.18,35.98,36.150002,36.150002,84848600
6/11/2019,36.060001,36.48,35.52,35.93,35.93,51675100
7/11/2019,36.52,36.99,36.03,36.279999,36.279999,54350200
